Descrição,Tipo,Categoria,Subcategoria
Administração central (Empréstimos),Activo,Empréstimos,
Administração central (Outras responsabilidades face a Outras sociedades de depósitos),Passivo,Outras responsabilidades face a Outras sociedades de depósitos,
Administração central (Títulos de dívida),Activo,Títulos de dívida,
Capital e reservas,Passivo,,
Depósitos livres (Base monetária - Reserva bancária),Passivo,Base monetária,Reserva bancária
Depósitos obrigatórios (Base monetária - Reserva bancária),Passivo,Base monetária,Reserva bancária
Depósitos sobre instituições financeiras residentes,Passivo,,
Depósitos sobre não residentes,Passivo,,
Empréstimos Passivos,Passivo,,
Garantias do SPA (Outras responsabilidades face a Outras sociedades de depósitos),Passivo,Outras responsabilidades face a Outras sociedades de depósitos,
Notas e moedas em circulação (Base monetária),Passivo,Base monetária,
Notas e moedas estrangeiras,Activo,,
Não residentes (Ações e outras participações),Activo,Ações e outras participações,
Não residentes (Empréstimos),Activo,Empréstimos,
Não residentes (Títulos de dívida),Activo,Títulos de dívida,
Ouro monetário e DSE,Activo,,
Outras operações de absorção (Outras responsabilidades face a Outras sociedades de depósitos),Passivo,Outras responsabilidades face a Outras sociedades de depósitos,
Outras sociedades de depósitos (Empréstimos),Passivo,Empréstimos,
Outras sociedades de depósitos e outros sectores residentes (Títulos de dívida),Passivo,Títulos de dívida,
Outros Passivos,Passivo,,
Outros activos,Activo,,
Outros sectores (Outras responsabilidades face a Outras sociedades de depósitos),Passivo,Outras responsabilidades face a Outras sociedades de depósitos,
Outros sectores residentes (Ações e outras participações),Activo,Ações e outras participações,
Outros sectores residentes (Empréstimos),Activo,Empréstimos,
Saldos do governo central - IF´s (Outras responsabilidades face a Outras sociedades de depósitos),Passivo,Outras responsabilidades face a Outras sociedades de depósitos,
"Sector público, excl. administração central (Empréstimos)",Activo,Empréstimos,
"Sector público, excl. administração central (Títulos de dívida)",Activo,Títulos de dívida,
Títulos do BNA (Outras responsabilidades face a Outras sociedades de depósitos),Passivo,Outras responsabilidades face a Outras sociedades de depósitos,
